Table 1;;;;;;;;;;
Participant;Level;Activity Name;Score;Max Score;Correct;Errors;Time Spent  ;Returns to Explanation;Time spent in returned explanation;Key comments/Behaviour
P1;Base Chart;Axes Activity;475;500;10;4;118;No;;Struggled with Y-End and X-Increment values initially.
;Line Chart;Point Plotting;500;500;10;0;39;No;;Perfect accuracy on the first category (Among Us).
;Line Chart;Line Drawing;50;50;1;0;15;No;;Smooth connection.
;Line Chart;Prepare 2nd Category;-25;50;0;1;15;No;;Misjudged if the graph needed adjustment for PubG.
;Line Chart;2nd Point Plotting;500;500;10;0;27;No;;Continued high precision in plotting.
;Line Chart;2nd Line Drawing;50;50;1;0;4;No;;Fast completion.
;Area Chart;Intro ;50;50;1;0;8;No;;Handled the manual fill without issue.
;Area Chart;Area Comparison;125;200;4;2;51;No;;Multiple attempts needed to identify correct Y-End (100).
;Stacked Area;1st Stacking;75;150;2;9;97;Yes;19;"Incorrectly clicked 'Yes' for graph readiness; 8 Y-End typos."
;Stacked Area;1st Stacking;150;150;3;0;13;No;;"Much faster after explanation; correct Y-End (655)."
;Stacked Area;Point Plotting;425;500;10;3;44;No;;Precision errors at years 2018, 2022, and 2023.
;Stacked Area;Line Drawing;50;50;1;0;4;No;;Connected Fortnite points correctly.
;Stacked Area;Stack 3rd (;150;150;3;0;20;No;;Successfully setup Brawl Stars but failed plotting.
;Stacked Area;2nd Plotting;-150;500;0;6;42;Yes;49;"Stuck on year 2018; 6 consecutive background clicks."
;Stacked Area;1st Stacking;150;150;3;0;16;No;;Flawless setup for Genshin/Minecraft stack.
;Stacked Area;Point Plotting ;-300;500;6;12;121;Yes;2;Critical struggle at year 2021 (12 background clicks).
;Stacked Area;1st Stacking;150;150;3;1;17;No;;One typo on Y-End (638 vs 690), but logic correct.
;Stacked Area;Point Plotting;375;500;10;5;58;No;;Repeatedly missed 2023 and 2024 hitboxes.
;Stacked Area;Line Drawing;50;50;1;0;4;No;;Quick connection.
;Stacked Area;Stack 3rd;150;150;3;0;16;No;;PubG setup correct, but plotting proved too difficult.
;Stacked Area;2nd Plotting;-75;500;6;23;183;Yes;2;Highest difficulty: 22 misses on year 2018 alone.
;Stacked Area;1st Stacking;150;150;3;2;29;No;;Minor typos on Y-End (45, 440) before 455.
;Stacked Area;Point Plotting ;450;500;10;2;47;No;;"Improved precision; only 2 background clicks."
;Stacked Area;Line Drawing ;50;50;1;0;3;No;;Roblox points connected.
;Stacked Area;Stack 3rd;150;150;3;1;36;No;;Typos on Y-End (480 vs 493), but logic sound.
;Stacked Area;2nd Plotting;450;500;10;2;54;No;;Final successful run for Brawl Stars points.
;Stacked Area;2nd Line;50;50;1;0;2;No;;Fast completion.
;Misleading;Missing Years;50;50;1;0;10;No;;Immediately spotted the X-axis gap.
;Misleading;Y-Axis Increment;50;50;1;0;11;No;;Identified non-linear Y-axis scaling.
;Misleading;Comparison Chart;50;50;1;0;4;No;;Spotted the Y-axis mismatch between charts.
;Misleading;Reversed Years;50;50;1;0;6;No;;Spotted time flowing backward on X-axis.
P2;Base Chart;Axes Activity;375;500;10;6;149;No;;Struggled significantly with the Y-start value (30 vs 0).
;Line Chart;Point Plotting;500;500;10;2;45;No;;Fast plotting, though hit two accidental clicks early on.
;Line Chart;Line Drawing;50;50;1;0;5;No;;Perfect connection.
;Line Chart;Prepare 2nd Category;50;50;1;0;10;No;;Correctly identified no adjustment was needed for PubG.
;Line Chart;2nd Point Plotting;500;500;10;0;30;No;;Flawless plotting for the second category!
;Line Chart;2nd Line Drawing;-25;50;1;2;59;No;;Missed the start point and had an incomplete connection.
;Area Chart;Intro ;50;50;1;0;5;No;;Efficient area filling.
;Area Chart;Area Comparison ;50;150;1;6;56;Yes;1;Abandoned after 6 failed Y-end attempts.
;Area Chart;Intro ;50;50;1;0;11;No;;Re-filled area after review.
;Area Chart;Area Comparison ;25;150;1;3;36;Yes;1;Misidentified the axis and comparability after review.
;Area Chart;Intro ;50;50;1;0;2;No;;Very fast re-fill.
;Area Chart;Area Comparison ;50;50;1;3;64;No;;Final Y-end found, but failed the level overall.
;Area Chart;Intro ;50;50;1;0;2;No;;Rapid progression.
;Area Chart;Area Comparison ;50;50;1;0;2;No;;Nailed the Y-end (200) instantly this time!
;Stacked Area;1st Stacking;75;150;2;2;25;No;;"Misjudged graph readiness; Y-end typo (75)."
;Stacked Area;Point Plotting ;375;500;10;5;65;No;;Precision issues at years 2020, 2021, and 2022.
;Stacked Area;Line Drawing ;50;50;1;0;4;No;;Successful connection of Genshin points.
;Stacked Area;Stack 3rd;100;150;2;18;51;No;;Logic was there, but Y-end math for PubG proved difficult.
;Stacked Area;1st Stacking;100;150;2;7;40;Yes;1;Struggle with the 140 Y-end calculation.
;Stacked Area;1st Stacking;25;150;1;4;21;Yes;1;Continued struggle with Y-end (203).
