Participant;Level;Time Spent (s);Errors (Count);Explanation Time (Before Lvl) (s);Score;BestPercentage;FirstPercentage;Skipp/Read;Restarted
P1;Base Chart;118;4;49;475;95 %;95 %;Reader;No
;Line Chart;111;1;37;1075;93 %;93 %;Reader;No
;Area Chart;64;2;3;175;70 %;70 %;Skipper;No
;Stacked Area;~925;50;7;1350;96 %;40 %;Skipper;Yes
;Misleading;78;0;10;200;100 %;100 %;Skipper;No
P2;Base Chart;164;7;40;375;75 %;75 %;Reader;No
;Line Chart;154;4;2;1125;98 %;98 %;Skipper;No
;Area Chart;194;13;5;100;100 %;66 %;Skipper;Yes
;Stacked Area;586;62;10;425;32 %;0 %;Skipper;Yes
;Misleading;22;7;0;150;75 %;75 %;Skipper;No
P3;Base Chart;129;3;32;475;95 %;95 %;Reader;No
;Line Chart;155;8;2;1000;87 %;87 %;Skipper;No
;Area Chart;28;1;4;75;75 %;75 %;Skipper;No
;Stacked Area;295;61;1;-1250;0 %;0 %;Skipper;Yes
;Misleading;79;9;2;150;75 %;0 %;Skipper;Yes
P4;Base Chart;301;2;0;475;95 %;0 %;Skipper;Yes
;Line Chart;422;~8;43;1125;98 %;98 %;Reader;No
;Area Chart;45;0;0;100;100 %;100 %;Skipper;No
;Stacked Area;816;20;0;1100;79 %;58 %;Skipper;Yes
;Misleading;266;3;60;200;100 %;75 %;Reader;No
P5;Base Chart;103;1;0;475;95 %;95 %;Skipper;No
;Line Chart;159;1;112;1300;100 %;100 %;Reader;No
;Area Chart;62;0;72;250;100 %;100 %;Reader;No
;Stacked Area;277;1;124;1400;100 %;100 %;Reader;No
;Misleading;130;0;70;200;100 %;100 %;Reader;No
P6;Base Chart;124;5;0;425;85 %;85 %;Skipper;No
;Line Chart;168;4;40;1225;98 %;98 %;Reader;No
;Area Chart;55;2;7;50;50 %;50 %;Skipper;No
;Stacked Area;744;25;20;1375;98 %;32 %;Reader;Yes
;Misleading;57;3;18;200;100 %;0 %;Reader;Yes
P7;Base Chart;125;3;0;475;95 %;95.0%;Skipper;No
;Line Chart;148;2;5;1050;91 %;91 %;Skipper;No
;Area Chart;240;15;30;250;100 %;100 %;Reader;No
;Stacked Area;520;40;20;1400;100 %;33 %;Reader;Yes
;Misleading;113;35;20;200;100 %;50 %;Reader;Yes
P8;Base Chart;238;2;0;475;95 %;95 %;Skipper;No
;Line Chart;244;7;80;1275;85 %;85 %;Reader;No
;Area Chart;23;0;76;100;100 %;100 %;Reader;No
;Stacked Area;497;10;157;1175;84 %;69 %;Reader;Yes
;Misleading;141;1;79;175;87.5 %;87.5%;Reader;No
P9;Base Chart;219;2;48;450;90 %;90 %;Reader;No
;Line Chart;116;0;38;1150;80 %;80 %;Reader;No
;Area Chart;100;0;43;225;90 %;90 %;Reader;No
;Stacked Area;357;5;52;1275;91 %;91 %;Reader;No
